"","Company","Specific_Bean_Origin_or_Bar_Name","REF","Review_Date","Cocoa_Percentage","Company_Location","Rating","Broad_Bean_Origin","Gorzka"
"105","Arete","Lachua",1904,2016,70,"U.S.A.",3.5,"Guatemala","Tak"
"106","Arete","Rugoso",1904,2016,70,"U.S.A.",3.75,"Nicaragua","Tak"
"107","Arete","La Masica, FHIA",1908,2016,70,"U.S.A.",3.5,"Honduras","Tak"
"108","Arete","Coto Brus, Terciopelo",1908,2016,70,"U.S.A.",4,"Costa Rica","Tak"
"109","Arete","Phantom",1924,2016,70,"U.S.A.",4,"Peru","Tak"
"110","Arete","Elvesia",1928,2016,70,"U.S.A.",3.75,"Dominican Republic","Tak"
"111","Arete","Matasawalevu",1928,2016,70,"U.S.A.",3.25,"Fiji","Tak"
"112","Arete","Lam Dong",1928,2016,73,"U.S.A.",3.25,"Vietnam","Tak"
"113","Arete","Fazenda Camboa",1534,2015,70,"U.S.A.",3.5,"Brazil","Tak"
"114","Arete","Nacional",1534,2015,68,"U.S.A.",3.5,"Peru","Nie"
"115","Arete","Puerto Quito, heirloom",1534,2015,70,"U.S.A.",3.75,"Ecuador","Tak"
"116","Arete","Oko Caribe",1598,2015,70,"U.S.A.",3.5,"Domincan Republic","Tak"
"117","Arete","Maya Mountain",1598,2015,70,"U.S.A.",3.75,"Belize","Tak"
"118","Arete","Chuno",1598,2015,70,"U.S.A.",4,"Nicaragua","Tak"
"119","Arete","Fazenda Camboa",1602,2015,75,"U.S.A.",2.75,"Brazil","Tak"
"120","Arete","Guatemala",1602,2015,70,"U.S.A.",3.25,"Guatemala","Tak"
"121","Arete","Camino Verde",1602,2015,75,"U.S.A.",3.5,"Ecuador","Tak"
"122","Artisan du Chocolat","Trinidad, Heritage, Limited ed.",1193,2013,72,"U.K.",3.25,"Trinidad","Tak"
"123","Artisan du Chocolat","Colombia, Casa Luker",947,2012,72,"U.K.",3.75,"Colombia","Tak"
"124","Artisan du Chocolat","Haiti",729,2011,72,"U.K.",4,"Haiti","Tak"
"125","Artisan du Chocolat","Panama",745,2011,72,"U.K.",2.75,"Panama","Tak"
"126","Artisan du Chocolat","Venezuela",486,2010,100,"U.K.",1.75,"Venezuela","Tak"
"127","Artisan du Chocolat","Jamaica",531,2010,72,"U.K.",3.75,"Jamaica","Tak"
"128","Artisan du Chocolat","Costa Rica",600,2010,72,"U.K.",3.25,"Costa Rica","Tak"
"129","Artisan du Chocolat","Ba Ria Vung Tau Province",600,2010,72,"U.K.",3.25,"Vietnam","Tak"
"130","Artisan du Chocolat","Bali",600,2010,72,"U.K.",3.5,"Indonesia","Tak"
"131","Artisan du Chocolat","Ocumare, Venezuela",355,2009,75,"U.K.",2.5,"Venezuela","Tak"
"132","Artisan du Chocolat","Java",355,2009,72,"U.K.",2.75,"Indonesia","Tak"
"133","Artisan du Chocolat","Brazil Rio Doce",363,2009,72,"U.K.",1.75,"Brazil","Tak"
"134","Artisan du Chocolat","Madagascar",363,2009,80,"U.K.",3,"Madagascar","Tak"
"135","Artisan du Chocolat","Peru",363,2009,75,"U.K.",3,"Peru","Tak"
"136","Artisan du Chocolat","Dominican Republic",363,2009,72,"U.K.",3.25,"Dominican Republic","Tak"
"137","Artisan du Chocolat","Congo",300,2008,72,"U.K.",3.75,"Congo","Tak"
"138","Artisan du Chocolat (Casa Luker)","Orinoqua Region, Arauca",1181,2013,72,"U.K.",2.75,"Colombia","Tak"
"139","Askinosie","Mababa",1780,2016,68,"U.S.A.",3.75,"Tanzania","Nie"
"140","Askinosie","Tenende, Uwate",647,2011,72,"U.S.A.",3.75,"Tanzania","Tak"
"141","Askinosie","Cortes",661,2011,70,"U.S.A.",3.75,"Honduras","Tak"
"142","Askinosie","Davao",331,2009,77,"U.S.A.",3.75,"Philippines","Tak"
"143","Askinosie","Xoconusco",141,2007,75,"U.S.A.",2.5,"Mexico","Tak"
"144","Askinosie","San Jose del Tambo",175,2007,70,"U.S.A.",3,"Ecuador","Tak"
"145","Bahen & Co.","Houseblend",1474,2015,80,"Australia",3.25," ","Tak"
"146","Bahen & Co.","Papua New Guinea",1474,2015,70,"Australia",3.5,"Papua New Guinea","Tak"
"147","Bahen & Co.","Sambirano",995,2012,70,"Australia",3,"Madagascar","Tak"
"148","Bahen & Co.","Bahia",999,2012,70,"Australia",2.5,"Brazil","Tak"
"149","Bahen & Co.","Houseblend",999,2012,70,"Australia",2.5," ","Tak"
"150","Bakau","Bambamarca, 2015",1454,2015,70,"Peru",2.75,"Peru","Tak"
"151","Bakau","Huallabamba, 2015",1454,2015,70,"Peru",3.5,"Peru","Tak"
"152","Bar Au Chocolat","Bahia",1554,2015,70,"U.S.A.",3.5,"Brazil","Tak"
"153","Bar Au Chocolat","Maranon Canyon",1295,2014,70,"U.S.A.",4,"Peru","Tak"
"154","Bar Au Chocolat","Duarte Province",983,2012,70,"U.S.A.",3.25,"Dominican Republic","Tak"
"155","Bar Au Chocolat","Chiapas",983,2012,70,"U.S.A.",3.5,"Mexico","Tak"
"156","Bar Au Chocolat","Sambirano",983,2012,70,"U.S.A.",3.75,"Madagascar","Tak"
"157","Baravelli's","single estate",955,2012,80,"Wales",2.75,"Costa Rica","Tak"
"158","Batch","Dominican Republic, Batch 3",1840,2016,65,"U.S.A.",3.5,"Domincan Republic","Nie"
"159","Batch","Brazil",1868,2016,70,"U.S.A.",3.75,"Brazil","Tak"
"160","Batch","Ecuador",1880,2016,65,"U.S.A.",3.25,"Ecuador","Nie"
"161","Beau Cacao","Asajaya E, NW Borneo, b. #132/4500",1948,2017,73,"U.K.",3,"Malaysia","Tak"
"162","Beau Cacao","Serian E., NW Borneo, b. #134/3800",1948,2017,72,"U.K.",3.25,"Malaysia","Tak"
"163","Beehive","Brazil, Batch 20316",1784,2016,80,"U.S.A.",2.75,"Brazil","Tak"
"164","Beehive","Dominican Republic, Batch 31616",1784,2016,70,"U.S.A.",2.75,"Domincan Republic","Tak"
"165","Beehive","Ecuador, Batch 31516",1784,2016,70,"U.S.A.",2.75,"Ecuador","Tak"
"166","Beehive","Ecuador",1788,2016,90,"U.S.A.",2.75,"Ecuador","Tak"
"167","Belcolade","Costa Rica",586,2010,64,"Belgium",2.75,"Costa Rica","Nie"
"168","Belcolade","Papua New Guinea",586,2010,64,"Belgium",2.75,"Papua New Guinea","Nie"
"169","Belcolade","Peru",586,2010,64,"Belgium",2.75,"Peru","Nie"
"170","Belcolade","Ecuador",586,2010,71,"Belgium",3.5,"Ecuador","Tak"
"171","Bellflower","Kakao Kamili, Kilombero Valley",1800,2016,70,"U.S.A.",3.5,"Tanzania","Tak"
"172","Bellflower","Alto Beni, Palos Blanco",1804,2016,70,"U.S.A.",3.25,"Bolivia","Tak"
"173","Bellflower","Oko Caribe, Duarte P.",1864,2016,70,"U.S.A.",3.5,"Domincan Republic","Tak"
"174","Belyzium","Belize south, low fermentation",1768,2016,83,"Germany",2.75,"Belize","Tak"
"175","Belyzium","Belize south",1768,2016,78,"Germany",3,"Belize","Tak"
"176","Belyzium","Belize south",1768,2016,83,"Germany",3.5,"Belize","Tak"
"177","Benoit Nihant","Baracoa",1141,2013,74,"Belgium",3.5,"Cuba","Tak"
"178","Benoit Nihant","Chuao",1141,2013,74,"Belgium",3.5,"Venezuela","Tak"
"179","Benoit Nihant","Cuyagua Village",1141,2013,74,"Belgium",3.5,"Venezuela","Tak"
"180","Benoit Nihant","Rio Peripa H.",1141,2013,73,"Belgium",4,"Ecuador","Tak"
"181","Benoit Nihant","Bali, Sukrama Bros. Farm, Melaya, 62hr C",757,2011,72,"Belgium",4,"Indonesia","Tak"
"182","Benoit Nihant","Somia Plantation, Sambirano, 70hr C",773,2011,72,"Belgium",3.75,"Madagascar","Tak"
"183","Bernachon","Nature",797,2012,55,"France",2.75," ","Nie"
"184","Beschle (Felchlin)","Madagascar",636,2011,64,"Switzerland",3,"Madagascar","Nie"
"185","Beschle (Felchlin)","Maracaibo",636,2011,88,"Switzerland",3,"Venezuela","Tak"
"186","Beschle (Felchlin)","Indigena Amazonia, Grand Cru, Quizas",636,2011,72,"Switzerland",3.5,"Venezuela","Tak"
"187","Beschle (Felchlin)","Ecuador",636,2011,72,"Switzerland",4,"Ecuador","Tak"
"188","Beschle (Felchlin)","Carenero S., Barlovento, Grand Cru",508,2010,70,"Switzerland",3.25,"Venezuela","Tak"
"189","Beschle (Felchlin)","Porcelana, Premier Cru, Quizas No. 1",508,2010,74,"Switzerland",3.25,"Venezuela","Tak"
"190","Beschle (Felchlin)","Java, Grand Cru",508,2010,64,"Switzerland",3.5,"Indonesia","Nie"
"191","Beschle (Felchlin)","Ocumare, Premier Cru, Quizas No. 2",508,2010,72,"Switzerland",3.5,"Venezuela","Tak"
"192","Bisou","Nicaragua, American style",1482,2015,76,"U.S.A.",2.5,"Nicaragua","Tak"
"193","Bisou","San Andres, American style",1486,2015,76,"U.S.A.",2.5,"Costa Rica","Tak"
"194","Bisou","San Andres, silk",1486,2015,78,"U.S.A.",2.5,"Costa Rica","Tak"
"195","Bisou","Belize",1486,2015,86,"U.S.A.",3.25,"Belize","Tak"
"196","Bittersweet Origins","Ghana",963,2012,72,"U.S.A.",3.5,"Ghana","Tak"
"197","Bittersweet Origins","Bali, Singaraja",478,2010,75,"U.S.A.",3.25,"Indonesia","Tak"
"198","Bittersweet Origins","2009 Hapa Nibby",502,2010,70,"U.S.A.",3.75,"Dominican Rep., Bali","Tak"
"199","Bittersweet Origins","Bali, Singaraja",558,2010,65,"U.S.A.",2.75,"Indonesia","Nie"
"200","Bittersweet Origins","Sambirano, 2009",565,2010,70,"U.S.A.",3,"Madagascar","Tak"
"201","Bittersweet Origins","Ocumare, prototype",565,2010,78,"U.S.A.",3,"Venezuela","Tak"
"202","Bittersweet Origins","Puerto Plata",414,2009,75,"U.S.A.",3,"Dominican Republic","Tak"
"203","Bittersweet Origins","Puerto Plata",414,2009,65,"U.S.A.",3.5,"Dominican Republic","Nie"
"204","Bittersweet Origins","Sambirano",423,2009,75,"U.S.A.",3.25,"Madagascar","Tak"
"205","Bittersweet Origins","Sambirano",431,2009,65,"U.S.A.",3.5,"Madagascar","Nie"
"206","Bittersweet Origins","Sambirano",233,2008,71,"U.S.A.",3,"Madagascar","Tak"
"207","Bittersweet Origins","Bocas del Toro",233,2008,75,"U.S.A.",3.5,"Panama","Tak"
"208","Bittersweet Origins","Puerto Plata",233,2008,68,"U.S.A.",3.75,"Dominican Republic","Nie"
"209","Bittersweet Origins","Ankasa",256,2008,70,"U.S.A.",3,"Ghana","Tak"
"210","Black Mountain","La Red",256,2008,70,"U.S.A.",2.75,"Dominican Republic","Tak"
"211","Black Mountain","Carenero Superior",256,2008,70,"U.S.A.",2.75,"Venezuela","Tak"
"212","Black Mountain","Matiguas",256,2008,70,"U.S.A.",3,"Nicaragua","Tak"
"213","Black River (A. Morin)","Blue Mountain Region",1331,2014,70,"U.K.",2.75,"Jamaica","Tak"
"214","Blanxart","Congo, Grand Cru",1046,2013,82,"Spain",3.5,"Congo","Tak"
"215","Blanxart","Organic Dark",322,2009,72,"Spain",2.75," ","Tak"
"216","Blue Bandana","Akesson's E., Sambirano V.",1740,2016,82,"U.S.A.",3.5,"Madagascar","Tak"
"217","Blue Bandana","Lachua",1752,2016,75,"U.S.A.",2.75,"Guatemala","Tak"
"218","Blue Bandana","Kokoa Kamili",1752,2016,75,"U.S.A.",3.5,"Tanzania","Tak"
"219","Blue Bandana","Zorzal Reserva",1756,2016,75,"U.S.A.",3,"Dominican Republic","Tak"
"220","Blue Bandana","Guatemala",911,2012,70,"U.S.A.",3.5,"Guatemala","Tak"
"221","Blue Bandana","Madagascar",911,2012,70,"U.S.A.",3.75,"Madagascar","Tak"
"222","Bonnat","Selva Maya",1912,2016,75,"France",3.5,"Mexico","Tak"
"223","Bonnat","Kaori",1339,2014,75,"France",4,"Brazil","Tak"
"224","Bonnat","Los Colorados, Santo Domingo, Equateur",1418,2014,75,"France",3.25,"Dominican Republic","Tak"
"225","Bonnat","Surfin",1418,2014,65,"France",3.75,"Venez,Africa,Brasil,Peru,Mex","Nie"
"226","Bonnat","Maragnam",1038,2013,75,"France",3.5,"Brazil","Tak"
"227","Bonnat","Gabon",1042,2013,75,"France",3.25,"Gabon","Tak"
"228","Bonnat","Cuba",629,2011,75,"France",3.5,"Cuba","Tak"
"229","Bonnat","Cusco, Cacao Cusco",629,2011,75,"France",3.5,"Peru","Tak"
"230","Bonnat","Piura Blanco",629,2011,75,"France",3.5,"Peru","Tak"
"231","Bonnat","Libanio",629,2011,75,"France",3.75,"Brazil","Tak"
"232","Bonnat","Haiti",629,2011,75,"France",4,"Haiti","Tak"
"233","Bonnat","Madagascar, 100% criollo",629,2011,75,"France",4,"Madagascar","Tak"
"234","Bonnat","Juliana",672,2011,75,"France",3.5,"Brazil","Tak"
"235","Bonnat","Jamaique",761,2011,75,"France",3.25,"Jamaica","Tak"
"236","Bonnat","Ivory Coast",331,2009,75,"France",3,"Ivory Coast","Tak"
"237","Bonnat","Porcelana, Apotequil",336,2009,75,"France",2.75,"Peru","Tak"
"238","Bonnat","Porcelana, Tabasco, Marfil de Blanco",336,2009,75,"France",3,"Mexico","Tak"
"239","Bonnat","Xoconusco, cacao Real",395,2009,75,"France",3,"Mexico","Tak"
"240","Bonnat","Porcelana, Venezuela",199,2008,75,"France",4,"Venezuela","Tak"
"241","Bonnat","Equateur",123,2007,75,"France",2.5,"Ecuador","Tak"
"242","Bonnat","Trinite",24,2006,75,"France",3.75,"Carribean","Tak"
"243","Bonnat","Ocumare, Puerto Cabello",32,2006,75,"France",4,"Venezuela","Tak"
"244","Bonnat","Maracaibo, El Rosario",48,2006,75,"France",4,"Venezuela","Tak"
"245","Bonnat","Madagascar",75,2006,75,"France",4,"Madagascar","Tak"
"246","Bonnat","One Hundred",81,2006,100,"France",1.5," ","Tak"
"247","Bonnat","Ceylan",81,2006,75,"France",3,"Sri Lanka","Tak"
"248","Bonnat","Chuao",81,2006,75,"France",4,"Venezuela","Tak"
"249","Bouga Cacao (Tulicorp)","El Oro, Hacienda de Oro",316,2009,77,"Ecuador",3.25,"Ecuador","Tak"
"250","Bouga Cacao (Tulicorp)","El Oro, Hacienda de Oro",341,2009,100,"Ecuador",1.5,"Ecuador","Tak"
"251","Bowler Man","Maya Mountain",1267,2014,70,"U.S.A.",2.75,"Belize","Tak"
"252","Bowler Man","Conacado",1271,2014,70,"U.S.A.",2.75,"Dominican Republic","Tak"
"253","Brasstown aka It's Chocolate","Guasare, Zulia Prov.",1868,2016,70,"U.S.A.",3.5,"Venezuela","Tak"
"254","Brasstown aka It's Chocolate","O'payo, Waslala",1868,2016,70,"U.S.A.",3.75,"Nicaragua","Tak"
"255","Brasstown aka It's Chocolate","Conacado",1462,2015,68,"U.S.A.",3.75,"Dominican Republic","Nie"
"256","Brasstown aka It's Chocolate","Maya Mountain",1255,2014,70,"U.S.A.",3.75,"Belize","Tak"
"257","Brasstown aka It's Chocolate","Chuao",1355,2014,70,"U.S.A.",4,"Venezuela","Tak"
"258","Brasstown aka It's Chocolate","Cooproagro",1125,2013,72,"U.S.A.",3,"Dominican Republic","Tak"
"259","Brasstown aka It's Chocolate","Camino Verde, Guayas",1125,2013,70,"U.S.A.",3.25,"Ecuador","Tak"
"260","Brasstown aka It's Chocolate","Ghana",1129,2013,75,"U.S.A.",3.5,"Ghana","Tak"
"261","Brasstown aka It's Chocolate","Chuao, Mantuano blend",1129,2013,85,"U.S.A.",3.5,"Venezuela","Tak"
"262","Brazen","Elvesia P.",1514,2015,60,"U.S.A.",3,"Dominican Republic","Nie"
"263","Brazen","Elvesia P.",1514,2015,80,"U.S.A.",3.25,"Dominican Republic","Tak"
"264","Brazen","Alta Verapaz, 2014",1514,2015,70,"U.S.A.",3.5,"Guatemala","Tak"
"265","Brazen","Ambolikapiky P.",1518,2015,80,"U.S.A.",2.75,"Madagascar","Tak"
"266","Brazen","Maya Mountain",1518,2015,80,"U.S.A.",3.25,"Belize","Tak"
"267","Brazen","Ambolikapkly P.",1518,2015,60,"U.S.A.",3.25,"Madagascar","Nie"
"268","Breeze Mill","Jamaica",1149,2013,70,"U.S.A.",3,"Jamaica","Tak"
"269","Bright","Somia Plantation",1231,2014,72,"Australia",3,"Madagascar","Tak"
"270","Bright","Marabel Farms",1231,2014,70,"Australia",3.5,"Dominican Republic","Tak"
"271","Bright","Camino Verde, Balao, Guayas",1231,2014,72,"Australia",3.5,"Ecuador","Tak"
"272","Bright","Gran Couva",1235,2014,68,"Australia",2.75,"Trinidad","Nie"
"273","Britarev","Ecuador",1638,2015,70,"Russia",3.25,"Ecuador","Tak"
"274","Bronx Grrl Chocolate","Dominican Republic",1181,2013,68,"U.S.A.",2.75,"Dominican Republic","Nie"
"275","Burnt Fork Bend","Trinidad",1299,2014,72,"U.S.A.",3.25,"Trinidad","Tak"
"276","Burnt Fork Bend","Mindo",1299,2014,72,"U.S.A.",3.5,"Ecuador","Tak"
"277","Burnt Fork Bend","Belize",1303,2014,72,"U.S.A.",3.25,"Belize","Tak"
"278","Burnt Fork Bend","Blend",1303,2014,72,"U.S.A.",3.25," ","Tak"
"279","Burnt Fork Bend","Ecuador, Bob Bar",1323,2014,60,"U.S.A.",2.5,"Ecuador","Nie"
"280","Cacao Arabuco","Puerto Rico",1606,2015,70,"Puerto Rico",2.5,"Puerto Rico","Tak"
"281","Cacao Atlanta","Tumbes",1215,2014,75,"U.S.A.",2.5,"Peru","Tak"
"282","Cacao Atlanta","Dominican Republic, ""Love Bar""",502,2010,75,"U.S.A.",2.5,"Dominican Republic","Tak"
"283","Cacao Atlanta","Dominican Republic w/ nibs",502,2010,75,"U.S.A.",2.75,"Dominican Republic","Tak"
"284","Cacao Atlanta","Patanemo",600,2010,75,"U.S.A.",2.25,"Venezuela","Tak"
"285","Cacao Barry","Grand 'Anse",1716,2016,65,"France",3.5,"Haiti","Nie"
"286","Cacao Barry","Santo Domingo",586,2010,70,"France",3,"Dominican Republic","Tak"
"287","Cacao Barry","Tanzania",300,2008,75,"France",2,"Tanzania","Tak"
"288","Cacao Barry","Venezuela",141,2007,72,"France",2,"Venezuela","Tak"
